Stockcode,Method,Fitnessvalue_withoutGA,Fitnessvalue_withGA,Picture_withGA,GA_picture
6203,Logistic Regression,0.6125,0.656,img/Model_picture/Logistic Regression/006203_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/006203_Logistic_GA.png
6203,Random Forest,0.6152,0.6334,img/Model_picture/Random Forest/006203_RandomForest_tree.png,img/Model_picture/Random Forest/006203_RandomForest_GA.png
6203,LSTM,0.4483,0,img/Model_picture/LSTM/006203.png,NA
6204,Multiple Regression,0.5122,0.5908,img/Model_picture/Multiple Regression/006204_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/006204_MultipleRegression_GA.png
6204,Logistic Regression,0.5712,0.632,img/Model_picture/Logistic Regression/006204_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/006204_Logistic_GA.png
6204,Random Forest,0.592,0.616,img/Model_picture/Random Forest/006204_RandomForest_tree.png,img/Model_picture/Random Forest/006204_RandomForest_GA.png
6204,LSTM,0.6977,0,img/Model_picture/LSTM/006204.png,NA
6208,Multiple Regression,0.5829,0.5815,img/Model_picture/Multiple Regression/006208_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/006208_MultipleRegression_GA.png
6208,Logistic Regression,0.5933,0.667,img/Model_picture/Logistic Regression/006208_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/006208_Logistic_GA.png
6208,Random Forest,0.6137,0.6825,img/Model_picture/Random Forest/006208_RandomForest_tree.png,img/Model_picture/Random Forest/006208_RandomForest_GA.png
6208,LSTM,0.8851,0,img/Model_picture/LSTM/006208.png,NA
690,Multiple Regression,0.4568,0.5114,img/Model_picture/Multiple Regression/00690_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/00690_MultipleRegression_GA.png
690,Logistic Regression,0.6457,0.773,img/Model_picture/Logistic Regression/00690_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/00690_Logistic_GA.png
690,Random Forest,0.6136,0.7045,img/Model_picture/Random Forest/00690_RandomForest_tree.png,img/Model_picture/Random Forest/00690_RandomForest_GA.png
690,LSTM,0.8824,0,img/Model_picture/LSTM/00690.png,NA
692,Multiple Regression,0.4877,0.5925,img/Model_picture/Multiple Regression/00692_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/00692_MultipleRegression_GA.png
692,Logistic Regression,0.7364,0.8421,img/Model_picture/Logistic Regression/00692_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/00692_Logistic_GA.png
692,Random Forest,0.7894,0.8947,img/Model_picture/Random Forest/00692_RandomForest_tree.png,img/Model_picture/Random Forest/00692_RandomForest_GA.png
692,LSTM,0.2667,0,img/Model_picture/LSTM/00692.png,NA
701,Multiple Regression,0.4921,0.6809,img/Model_picture/Multiple Regression/00701_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/00701_MultipleRegression_GA.png
701,Logistic Regression,0.6328,0.7692,img/Model_picture/Logistic Regression/00701_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/00701_Logistic_GA.png
701,Random Forest,0.6486,0.7692,img/Model_picture/Random Forest/00701_RandomForest_tree.png,img/Model_picture/Random Forest/00701_RandomForest_GA.png
701,LSTM,1,0,img/Model_picture/LSTM/00701.png,NA
713,Multiple Regression,0.4713,0.5466,img/Model_picture/Multiple Regression/00713_MultipleRegression_pred.png,img/Model_picture/Multiple Regression/00713_MultipleRegression_GA.png
713,Logistic Regression,0.6521,0.7895,img/Model_picture/Logistic Regression/00713_Logistic_Confusion_matrix.png,img/Model_picture/Logistic Regression/00713_Logistic_GA.png
713,Random Forest,0.8167,0.92,img/Model_picture/Random Forest/00713_RandomForest_tree.png,img/Model_picture/Random Forest/00713_RandomForest_GA.png
713,LSTM,0.5556,0,img/Model_picture/LSTM/00713.png,NA
